identifier,entityName,attributeName,attributeLabel,attributeDefinition,attributeUnit,viewURL,query_datetime_utc,assigned_valueURI,prefName,ontoName,package_type,child_rm,parent_rm,parent_metadata_pid
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110702.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110703.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110704.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110705.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110706.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110707.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110708.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110709.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110710.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110711.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110712.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110713.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110714.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110715.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110716.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110717.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110718.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
